id,last_name,first_name,middle_name,suffix,date_of_birth,protected_address,street_address,municipality,zip_code,status,eligible_date,must_show_id,drivers_license,state_id,precinct,ballot_style,voted,absentee,return_status
2011305,MARTIN,ELIZABETH,,,3/11/52,FALSE,3 LAKE VIEW CIRCLE,TRUCKEE,96160,S,2/8/12,FALSE,B0010674,1524579106,04110,04110-0003,TRUE,FALSE,
5204491,AUSTIN,JOSE,JACQUELINE,,1/18/78,FALSE,257 BULTMAN TERRACE,BOCA,96161,S,3/1/01,TRUE,B2871351,1639055739,04110,04110-0009,FALSE,FALSE,
5567799,HUDSON,MELISSA,,,2/22/89,FALSE,6920 LEROY TRAIL,NORTHSTAR,96161,A,8/29/09,FALSE,B6144597,1808462939,04110,04110-0001,FALSE,FALSE,PB
6481245,JAMES,JOYCE,,,6/22/55,FALSE,742 FAIRVIEW CENTER,NORTHSTAR,96161,S,7/28/13,TRUE,C1179848,1860400876,04110,04110-0002,TRUE,TRUE,
9847428,POWELL,JENNIFER,,,6/26/80,TRUE,63862 MAYFIELD TRAIL,DONNER,96162,S,9/1/05,TRUE,D1665838,1566232196,04110,04110-0009,FALSE,FALSE,
3233964,RUIZ,DEBORAH,EARL,,2/14/78,FALSE,290 COMMERCIAL PARKWAY,PROSSER LAKEVIEW,96161,A,5/14/00,FALSE,D1795582,1114862148,04110,04110-0003,TRUE,TRUE,PB
2323402,HUNTER,JANE,LOIS,,2/25/94,FALSE,550 THOMPSON POINT,PROSSER LAKEVIEW,96161,S,9/22/02,FALSE,D5766938,1388086810,04110,04110-0008,TRUE,FALSE,PB
8978920,ADAMS,CHRISTINE,JANET,,11/5/89,TRUE,6 MERRY COURT,SOUTH LAKE TAHOE,96158,A,11/20/09,FALSE,E0942471,1495365634,04110,04110-0007,TRUE,TRUE,
8062638,PERKINS,BETTY,JUDY,,8/21/74,FALSE,2 STOUGHTON LANE,DONNER,96162,A,7/23/03,FALSE,F1320178,1690627136,04110,04110-0008,TRUE,TRUE,
5249228,PETERSON,JENNIFER,ANGELA,,9/26/89,TRUE,2 VERNON PLACE,PROSSER LAKEVIEW,96161,S,2/5/06,FALSE,F8526356,1029254175,04110,04110-0008,TRUE,FALSE,
4671684,SANDERS,JEREMY,,,10/25/29,TRUE,1 VILLAGE PARK,HOBART MILLS,96161,S,9/9/04,TRUE,H1793872,1411758562,04110,04110-0005,TRUE,TRUE,
2743399,COOPER,MARGARET,,JR,4/27/37,FALSE,99541 KENNEDY PLACE,GLENSHIRE,96161,S,7/26/09,FALSE,H3691484,1404870602,04110,04110-0005,TRUE,TRUE,
5959219,FOWLER,MELISSA,,,12/8/67,TRUE,87756 GREEN TRAIL,TRUCKEE,96162,S,9/8/01,TRUE,I4497155,1861181194,04110,04110-0001,FALSE,TRUE,
4422985,OLSON,JONATHAN,,III,4/11/57,FALSE,83 BURNING WOOD WAY,TRUCKEE,96162,S,6/16/03,TRUE,J7018688,1898978937,04110,04110-0004,TRUE,FALSE,PB
1811778,WAGNER,DANIEL,,,5/31/87,FALSE,692 OAKRIDGE ROAD,SOUTH LAKE TAHOE,96158,A,4/8/01,FALSE,K1680879,1583669978,04110,04110-0006,FALSE,TRUE,
5995258,BOYD,BEVERLY,,,11/22/84,TRUE,27 FISK ROAD,DONNER LAKE,96161,A,4/13/05,FALSE,L2704757,1639467616,04110,04110-0007,TRUE,TRUE,
9824643,MARTINEZ,JOE,,,11/24/66,TRUE,33 DWIGHT PASS,TRUCKEE,96162,S,5/21/08,FALSE,M7504948,1265419368,04110,04110-0010,FALSE,TRUE,
1192830,NGUYEN,DANIEL,,,11/30/23,TRUE,3937 SUTTERIDGE HILL,TAHOE DONNER,96161,S,3/7/05,FALSE,M8999479,1783162194,04110,04110-0003,TRUE,FALSE,
7054776,JOHNSTON,EVELYN,SHIRLEY,,10/2/86,FALSE,295 KENSINGTON LANE,BOCA,96161,S,3/18/12,FALSE,N0578569,1463264813,04110,04110-0008,TRUE,TRUE,
